City,Country,Date,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed
san quintin,MX,2020-04-11 13:56:39,30.48,-115.95,32,64,62.150000000000006,6.13
nailsea,GB,2020-04-11 14:00:26,51.43,-2.76,79,32,71.27599999999998,3.6
sikonge,TZ,2020-04-11 14:00:26,-5.63,32.77,20,78,73.66999999999996,2.32
mataura,NZ,2020-04-11 14:00:26,-46.19,168.86,100,74,54.266000000000005,1.34
muroto,JP,2020-04-11 14:00:26,33.28,134.15,100,78,52.84399999999997,5.59
clyde river,CA,2020-04-11 14:00:26,70.47,-68.59,75,84,7.069999999999958,5.7
torbay,CA,2020-04-11 14:00:26,47.67,-52.73,75,65,46.274000000000015,11.3
illoqqortoormiut,,,,,,,,
chokurdakh,RU,2020-04-11 14:00:27,70.63,147.92,100,97,27.42799999999996,6.42
busselton,AU,2020-04-11 14:00:27,-33.65,115.33,100,53,68.26999999999995,2.74
santa maria,BR,2020-04-11 14:00:27,-29.68,-53.81,2,41,75.84800000000003,2.54
ullapool,GB,2020-04-11 13:58:46,57.9,-5.16,95,88,54.266000000000005,4.92
jamestown,US,2020-04-11 14:00:27,42.1,-79.24,1,47,44.27599999999999,5.1
provideniya,RU,2020-04-11 14:00:27,64.38,-173.3,99,97,27.40999999999998,1.47
mwene-ditu,CD,2020-04-11 14:00:27,-7,23.45,88,72,70.826,0.47
ngunguru,NZ,2020-04-11 14:00:27,-35.62,174.5,7,98,55.274000000000015,1.79
bengkulu,ID,2020-04-11 14:00:28,-3.8,102.27,37,79,79.53800000000004,1.22
barrow,US,2020-04-11 13:55:53,71.29,-156.79,75,83,-14.529999999999994,5.1
puerto ayora,EC,2020-04-11 14:00:28,-0.74,-90.35,75,74,85.26199999999996,3.6
villefranche-de-rouergue,FR,2020-04-11 14:00:28,44.33,2,0,39,65.26400000000004,4.1
butaritari,KI,2020-04-11 14:00:28,3.07,172.79,78,76,84.03800000000004,5.71
cape town,ZA,2020-04-11 13:56:37,-33.93,18.42,75,93,65.26400000000004,6.7
warwick,US,2020-04-11 14:00:28,41.7,-71.42,40,29,53.27599999999999,9.8
cidreira,BR,2020-04-11 14:00:28,-30.18,-50.21,18,56,71.69000000000003,3.38
faanui,PF,2020-04-11 14:00:28,-16.48,-151.75,100,73,83.20999999999998,4.2
lesozavodsk,RU,2020-04-11 14:00:29,45.48,133.42,0,83,33.56600000000001,1.07
khatanga,RU,2020-04-11 14:00:29,71.97,102.5,64,92,0.7879999999999932,4.63
port elizabeth,ZA,2020-04-11 14:00:06,-33.92,25.57,100,72,62.86999999999996,1.5
hofn,IS,2020-04-11 14:00:29,64.25,-15.21,81,83,41.59399999999997,9.06
port hardy,CA,2020-04-11 14:00:29,50.7,-127.42,40,81,46.66999999999996,2.1
hermanus,ZA,2020-04-11 14:00:29,-34.42,19.23,100,75,71.27599999999998,2.68
ushuaia,AR,2020-04-11 13:58:24,-54.8,-68.3,40,49,48.469999999999956,8.2
mehamn,NO,2020-04-11 14:00:30,71.04,27.85,92,89,23.07200000000004,0.76
kapaa,US,2020-04-11 14:00:30,22.08,-159.32,1,73,73.66999999999996,5.1
yabrud,SY,2020-04-11 14:00:30,33.97,36.66,20,58,55.66999999999996,5.1
port lincoln,AU,2020-04-11 13:57:26,-34.73,135.87,59,66,56.156000000000034,4.18
san vicente,AR,2020-04-11 14:00:30,-26.62,-54.13,0,24,77.9,1.86
vila velha,BR,2020-04-11 14:00:30,-20.33,-40.29,75,83,78.27799999999996,4.6
rikitea,PF,2020-04-11 14:00:30,-23.12,-134.97,94,74,77.0,1.71
saleaula,,,,,,,,
taolanaro,,,,,,,,
bredasdorp,ZA,2020-04-11 14:00:30,-34.53,20.04,100,82,71.27599999999998,1.5
thompson,CA,2020-04-11 13:58:08,55.74,-97.86,90,68,25.069999999999958,3.1
kasongo-lunda,CD,2020-04-11 14:00:31,-6.47,16.82,40,77,74.69600000000005,0.91
punta arenas,CL,2020-04-11 14:00:31,-53.15,-70.92,40,66,48.469999999999956,8.7
castro,BR,2020-04-11 13:59:46,-24.79,-50.01,63,42,71.52799999999996,1.42
mount isa,AU,2020-04-11 14:00:31,-20.73,139.5,25,21,71.86999999999996,4.1
yumen,CN,2020-04-11 14:00:31,40.28,97.2,82,21,47.20999999999998,3.13
goderich,CA,2020-04-11 14:00:31,43.75,-81.72,21,53,50.26999999999996,0.45
vicuna,CL,2020-04-11 14:00:31,-30.03,-70.71,92,63,64.66999999999996,4.6
guanica,PR,2020-04-11 14:00:31,17.97,-66.91,1,66,91.27400000000002,3.6
aksu,CN,2020-04-11 14:00:32,41.12,80.26,81,19,61.196000000000055,0.96
point pedro,LK,2020-04-11 14:00:32,9.82,80.23,0,75,83.76799999999999,6.13
tasiilaq,GL,2020-04-11 14:00:32,65.61,-37.64,40,90,32.26999999999996,7.2
puteyets,RU,2020-04-11 14:00:32,65.17,57.09,88,95,18.625999999999987,1.37
hobart,AU,2020-04-11 13:58:28,-42.88,147.33,90,62,52.26799999999999,4.1
lasa,IT,2020-04-11 13:56:50,46.62,10.7,42,37,75.46999999999997,1
tumannyy,,,,,,,,
kahului,US,2020-04-11 14:00:32,20.89,-156.47,20,83,74.26400000000004,2.6
esperance,AU,2020-04-11 14:00:33,-33.87,121.9,81,68,68.26999999999995,7.7
ponta do sol,PT,2020-04-11 13:57:27,32.67,-17.1,75,68,64.66999999999996,5.7
carolina,PR,2020-04-11 14:00:33,18.38,-65.96,40,74,89.27599999999998,4.6
atuona,PF,2020-04-11 14:00:33,-9.8,-139.03,97,72,82.54399999999998,3.57
maracas,BR,2020-04-11 14:00:33,-13.44,-40.43,64,67,75.79399999999998,2.17
cayenne,GF,2020-04-11 14:00:04,4.93,-52.33,75,62,86.26999999999995,6.2
qui nhon,VN,2020-04-11 13:57:59,13.77,109.23,100,85,78.60199999999998,1
gombe,NG,2020-04-11 14:00:33,10.29,11.17,100,21,85.28000000000004,3.5
leningradskiy,RU,2020-04-11 13:55:41,69.38,178.42,100,84,8.114000000000033,1.84
georgetown,MY,2020-04-11 14:00:34,5.41,100.34,20,88,84.46999999999997,2.1
port alfred,ZA,2020-04-11 14:00:34,-33.59,26.89,100,91,68.26999999999995,0.45
mys shmidta,,,,,,,,
yellowknife,CA,2020-04-11 13:58:32,62.46,-114.35,20,56,12.46999999999996,6.2
aswan,EG,2020-04-11 14:00:34,24.09,32.91,0,19,75.46999999999997,7.2
mayo,US,2020-04-11 13:57:19,38.89,-76.51,20,32,59.26999999999996,5.7
avarua,CK,2020-04-11 14:00:34,-21.21,-159.78,65,100,79.06999999999996,1
qaanaaq,GL,2020-04-11 14:00:34,77.48,-69.36,77,78,14.14399999999997,1.49
east london,ZA,2020-04-11 14:00:35,-33.02,27.91,100,74,74.31799999999998,5.76
auki,SB,2020-04-11 14:00:35,-8.77,160.7,98,76,82.00399999999996,2.58
dikson,RU,2020-04-11 14:00:35,73.51,80.55,100,92,13.801999999999975,2.62
hilo,US,2020-04-11 14:00:05,19.73,-155.09,20,77,72.26600000000002,0.57
vizinga,RU,2020-04-11 14:00:35,61.07,50.1,99,96,24.835999999999967,1.35
grand centre,,,,,,,,
new norfolk,AU,2020-04-11 14:00:35,-42.78,147.06,90,62,52.26799999999999,4.1
airai,TL,2020-04-11 14:00:35,-8.93,125.41,49,72,61.23200000000001,0.66
xining,CN,2020-04-11 13:55:53,36.62,101.77,0,24,37.36400000000003,0.19
tsihombe,,,,,,,,
lexington,US,2020-04-11 14:00:21,37.99,-84.48,75,37,60.27799999999996,4.1
olafsvik,IS,2020-04-11 14:00:36,64.89,-23.71,37,77,38.13800000000005,13.7
rincon,US,2020-04-11 13:59:43,32.3,-81.24,40,28,75.27200000000005,3.1
linguere,SN,2020-04-11 14:00:36,15.4,-15.12,4,7,107.15,2.07
nikolskoye,RU,2020-04-11 14:00:36,59.7,30.79,75,69,37.66999999999996,1
vila franca do campo,PT,2020-04-11 14:00:37,37.72,-25.43,20,63,62.86999999999996,8.2
lebu,CL,2020-04-11 13:59:24,-37.62,-73.65,0,56,59.97200000000004,7.26
concordia,AR,2020-04-11 13:58:42,-31.39,-58.02,40,53,77.26999999999995,3.1
westport,US,2020-04-11 14:00:13,41.14,-73.36,40,27,53.27599999999999,6.2
ayan,RU,2020-04-11 14:00:37,56.45,138.17,0,89,31.85600000000003,6.81
boa vista,BR,2020-04-11 14:00:37,2.82,-60.67,75,39,95.26999999999995,7.7
nome,US,2020-04-11 14:00:37,64.5,-165.41,40,92,21.469999999999956,3.6
souillac,MU,2020-04-11 14:00:37,-20.52,57.52,75,73,78.27799999999996,6.2
durango,MX,2020-04-11 14:00:37,24.83,-104.83,46,9,76.71199999999996,12.62
aklavik,CA,2020-04-11 14:00:37,68.22,-135.01,20,84,7.069999999999958,2.6
nizhneyansk,,,,,,,,
port-cartier,CA,2020-04-11 14:00:38,50.03,-66.87,75,38,41.26999999999996,7.7
kavieng,PG,2020-04-11 14:00:38,-2.57,150.8,97,74,83.19200000000001,2.09
galgani,,,,,,,,
camana,PE,2020-04-11 13:57:10,-16.62,-72.71,81,70,75.61400000000003,4.14
ocampo,MX,2020-04-11 14:00:38,21.65,-101.5,26,9,77.01799999999999,7.98
mari-turek,RU,2020-04-11 14:00:38,56.79,49.62,100,94,34.34000000000002,3.22
yar-sale,RU,2020-04-11 14:00:38,66.83,70.83,70,95,20.06600000000001,5.13
itarema,BR,2020-04-11 14:00:38,-2.92,-39.92,100,75,84.72200000000004,3.79
vaini,TO,2020-04-11 14:00:38,-21.2,-175.2,20,100,64.66999999999996,1.5
kenora,CA,2020-04-11 13:59:30,49.82,-94.43,90,58,34.06999999999996,4.1
cherskiy,RU,2020-04-11 14:00:39,68.75,161.3,100,96,11.983999999999991,5.16
mandalgovi,MN,2020-04-11 14:00:39,45.76,106.27,0,31,38.87599999999999,4.65
kaseda,JP,2020-04-11 14:00:39,31.42,130.32,100,82,55.274000000000015,1.79
mrirt,,,,,,,,
shenjiamen,CN,2020-04-11 14:00:39,29.96,122.3,100,77,50.63000000000004,13.44
huron,US,2020-04-11 14:00:39,41.15,-82.55,90,37,55.274000000000015,5.1
kodiak,US,2020-04-11 14:00:40,57.79,-152.41,90,80,39.469999999999956,7.7
bluff,NZ,2020-04-11 14:00:40,-46.6,168.33,100,74,54.266000000000005,1.34
bambous virieux,MU,2020-04-11 14:00:40,-20.34,57.76,75,73,78.27799999999996,6.2
road town,VG,2020-04-11 14:00:40,18.42,-64.62,20,66,86.26999999999995,2.6
chippewa falls,US,2020-04-11 14:00:40,44.94,-91.39,1,25,56.26400000000004,2.42
havre-saint-pierre,CA,2020-04-11 14:00:40,50.23,-63.6,75,48,39.469999999999956,5.7
carnarvon,AU,2020-04-11 14:00:40,-24.87,113.63,40,100,77.26999999999995,6.7
riyadh,SA,2020-04-11 14:00:10,24.69,46.72,75,28,82.66999999999996,5.1
belushya guba,,,,,,,,
viligili,,,,,,,,
morondava,MG,2020-04-11 14:00:41,-20.28,44.28,77,81,80.34800000000003,3.26
haines junction,CA,2020-04-11 14:00:41,60.75,-137.51,0,74,26.833999999999993,0.21
grand river south east,,,,,,,,
puerto escondido,MX,2020-04-11 14:00:41,15.85,-97.07,5,74,79.06999999999996,4.6
bethel,US,2020-04-11 14:00:41,41.37,-73.41,40,27,53.27599999999999,6.2
broome,US,2020-04-11 13:56:26,42.25,-75.83,75,41,46.274000000000015,6.2
agadez,NE,2020-04-11 14:00:41,19.75,10.25,45,13,82.88599999999997,1.68
hithadhoo,MV,2020-04-11 14:00:42,-0.6,73.08,49,65,85.334,2.99
grand gaube,MU,2020-04-11 14:00:42,-20.01,57.66,75,73,78.27799999999996,6.2
saint anthony,US,2020-04-11 14:00:42,45.02,-93.22,1,28,58.26199999999996,1.5
lavrentiya,RU,2020-04-11 14:00:42,65.58,-171,99,98,28.111999999999956,4.7
sinop,TR,2020-04-11 14:00:42,41.77,34.87,28,72,41.54000000000002,2.62
leh,IN,2020-04-11 14:00:42,34.17,77.58,17,17,35.6,0.51
roald,NO,2020-04-11 14:00:42,62.58,6.13,100,93,47.26400000000003,3.1
rio grande,BR,2020-04-11 14:00:06,-32.03,-52.1,40,53,75.46999999999997,4.1
amderma,,,,,,,,
attawapiskat,,,,,,,,
phalodi,IN,2020-04-11 14:00:43,27.13,72.37,19,21,89.29399999999998,3.63
chuy,UY,2020-04-11 14:00:43,-33.7,-53.46,24,55,70.73599999999996,2.85
lompoc,US,2020-04-11 13:57:28,34.64,-120.46,40,72,67.26199999999996,3.6
vitim,RU,2020-04-11 14:00:43,59.45,112.56,100,94,30.325999999999986,1.8
tuktoyaktuk,CA,2020-04-11 14:00:43,69.45,-133.04,75,76,-5.529999999999994,2.1
richards bay,ZA,2020-04-11 14:00:43,-28.78,32.04,5,79,74.37200000000004,7.08
margate,GB,2020-04-11 14:00:43,51.38,1.39,23,71,67.26199999999996,3.6
beringovskiy,RU,2020-04-11 14:00:43,63.05,179.32,94,93,7.39399999999997,4.92
verkhnyaya inta,RU,2020-04-11 14:00:44,65.98,60.31,57,94,15.67400000000001,2.17
lalomanu,,,,,,,,
san cristobal,VE,2020-04-11 13:57:36,7.77,-72.22,40,43,91.66999999999996,10.3
san pedro,PH,2020-04-11 14:00:44,14.35,121.02,40,74,82.66999999999996,1.5
hirara,JP,2020-04-11 14:00:44,24.8,125.28,94,84,70.62799999999996,11.04
saint-philippe,RE,2020-04-11 13:55:47,-21.36,55.77,57,83,77.26999999999995,2.6
bandarbeyla,SO,2020-04-11 14:00:44,9.49,50.81,2,72,81.89600000000004,5.76
albany,US,2020-04-11 13:58:02,42.6,-73.97,75,36,49.26199999999996,8.2
barentsburg,,,,,,,,
gizo,SB,2020-04-11 14:00:44,-8.1,156.84,97,79,81.95,2.93
gravdal,NO,2020-04-11 14:00:07,68.12,13.5,100,80,35.67200000000004,4.32
sao jose da coroa grande,BR,2020-04-11 14:00:45,-8.9,-35.15,62,63,86.07200000000003,4.59
sao joao da barra,BR,2020-04-11 14:00:45,-21.64,-41.05,75,69,79.06999999999996,4.1
weihai,CN,2020-04-11 14:00:45,37.5,122.11,15,69,46.742,5.81
dingle,PH,2020-04-11 14:00:45,11,122.67,2,73,77.66600000000001,2.54
fort nelson,CA,2020-04-11 14:00:45,58.81,-122.7,75,58,25.069999999999958,1.5
penzance,GB,2020-04-11 14:00:45,50.12,-5.54,76,63,64.66999999999996,1
usinsk,RU,2020-04-11 14:00:45,65.99,57.53,6,94,14.99000000000002,1.51
marsh harbour,BS,2020-04-11 14:00:46,26.54,-77.06,95,70,73.88599999999997,5.78
cabrero,CL,2020-04-11 14:00:46,-37.03,-72.4,32,55,66.46999999999997,7.2
seeboden,AT,2020-04-11 14:00:46,46.82,13.49,40,39,68.26999999999995,1.5
mentok,,,,,,,,
alice springs,AU,2020-04-11 13:58:39,-23.7,133.88,44,33,59.26999999999996,2.6
el alto,PE,2020-04-11 14:00:46,-4.27,-81.21,97,100,62.86999999999996,4.1
codrington,AU,2020-04-11 14:00:46,-38.27,141.97,64,73,51.63800000000005,5.23
coihaique,CL,2020-04-11 13:57:55,-45.58,-72.07,40,46,53.86999999999996,2.6
nizwa,OM,2020-04-11 14:00:47,22.93,57.53,94,21,84.34399999999997,5.11
pachino,IT,2020-04-11 13:56:19,36.72,15.09,60,63,62.27599999999999,2.6
pointe-noire,CG,2020-04-11 14:00:47,-4.78,11.86,20,79,84.46999999999997,2.1
jamame,SO,2020-04-11 14:00:47,0.07,42.75,70,72,84.434,4.45
daru,PG,2020-04-11 14:00:47,-9.08,143.21,86,85,79.96999999999997,4.64
los llanos de aridane,ES,2020-04-11 14:00:47,28.66,-17.92,75,68,70.06999999999996,4.6
doka,SD,2020-04-11 14:00:47,13.52,35.77,11,13,90.392,5.8
viedma,AR,2020-04-11 13:59:15,-40.81,-63,100,55,66.12799999999996,8.86
comodoro rivadavia,AR,2020-04-11 13:59:48,-45.87,-67.5,20,38,61.069999999999965,6.2
palabuhanratu,,,,,,,,
veraval,IN,2020-04-11 14:00:48,20.9,70.37,2,64,80.49199999999999,5.76
pauini,BR,2020-04-11 14:00:48,-7.71,-66.98,75,58,90.35600000000002,1.26
ozernovskiy,RU,2020-04-11 14:00:48,51.5,156.52,1,93,28.4,3.58
bara,NG,2020-04-11 14:00:48,10.37,10.73,100,20,85.64000000000001,2.77
cabo san lucas,MX,2020-04-11 13:58:43,22.89,-109.91,40,48,78.27799999999996,8.2
mahebourg,MU,2020-04-11 14:00:48,-20.41,57.7,75,73,78.27799999999996,6.2
pastavy,BY,2020-04-11 13:57:55,55.12,26.83,8,68,37.85,2.49
sananduva,BR,2020-04-11 14:00:49,-27.95,-51.81,0,37,71.43800000000005,1.7
dunedin,NZ,2020-04-11 14:00:49,-45.87,170.5,78,85,52.26799999999999,1.58
pahrump,US,2020-04-11 14:00:49,36.21,-115.98,1,47,66.27200000000005,2.6
henties bay,NA,2020-04-11 14:00:49,-22.12,14.28,0,58,72.91400000000004,4.62
luocheng,CN,2020-04-11 14:00:49,29.38,104.03,71,60,57.16400000000003,0.85
tiksi,RU,2020-04-11 14:00:49,71.69,128.87,28,94,17.78000000000004,7.79
ribeira grande,PT,2020-04-11 14:00:49,38.52,-28.7,20,77,64.66999999999996,2.1
motygino,RU,2020-04-11 14:00:49,58.18,94.76,13,94,29.641999999999996,0.71
taoudenni,ML,2020-04-11 14:00:49,22.68,-3.98,0,7,100.56199999999995,1.73
narsaq,GL,2020-04-11 14:00:50,60.92,-46.05,75,23,53.86999999999996,8.7
tilichiki,RU,2020-04-11 14:00:50,60.47,166.1,3,89,0.7879999999999932,2.87
hendijan,,,,,,,,
